language,count,median_TTD,mean_TTD,std_TTD
java,1032,2.729861111111111,68.13187648040481,147.14708207181368
rust,1868,3.474652777777778,45.879734713300024,113.5296640758415
c,3233,6.506944444444445,79.86819925593704,177.10154280678879
c++,36638,9.203472222222222,128.92655570491473,274.7344635859128
python,231,25.55902777777778,98.50840247715247,155.2861628308585
