language,count,mean,std,min,25%,50%,75%,max
c,55.0,0.1018347486517468,0.1586087498768324,0.0,0.0,0.0,0.13785296367263578,0.595741299856984
c++,161.0,0.1276578589797768,0.16789307125730576,0.0,0.0,0.048193548387096774,0.2,0.7867924528301887
go,16.0,0.3597464064506604,0.3379035906170997,0.0,0.027317880794701987,0.30159281381673375,0.6090029761904762,0.9571428571428571
java,36.0,0.14070979643975154,0.18122169585976974,0.0,0.0,0.0,0.3074935539321014,0.5
python,16.0,0.2698013672411287,0.23818045553515652,0.05451424774841282,0.10671620046620046,0.22916666666666666,0.3335416666666666,1.0
rust,28.0,0.11947949639803156,0.1618963597723603,0.0,0.0,0.03356109323591148,0.2037818972422474,0.5294117647058824
