project,language,median_coverage
qpdf,c++,0.21197708587842967
qpid-proton,c++,0.2
quickjs,c,0.13402061855670103
rapidjson,c++,0.0
rdf4j,java,0.0
rdkit,c++,0.08905707324659168
re2,c++,0.25
readstat,c++,0.5318291700241741
redis-py,python,0.06957047791893527
rekor,go,0.8433734939759037
relic,c++,0.006548065587825528
rhai,rust,0.2151275889689896
rich,python,0.08712121212121213
rnp,c++,0.06275747508305649
ron,rust,0.29160043190066287
rtpproxy,c,0.24782608695652175
rust-coreutils,rust,0.06870937790157845
rust-regex,rust,0.1193853427895981
s2geometry,c++,0.003703703703703704
scapy,python,0.11324786324786325
selinux,c,0.43054277828886844
serde-yaml,rust,0.030664526484751202
serenity,c++,0.014516129032258065
sigstore-java,java,0.0
simd,c++,0.0
simdjson,c++,0.010309278350515464
simdutf,c++,0.20155038759689922
sleuthkit,c++,0.0
solidity,c++,0.3666183331231875
sound-open-firmware,c,0.0
spicy,c++,0.09730639730639731
spirv-tools,c++,0.09090909090909091
spring-data-mongodb,java,0.0
sql-parser,c++,0.3187897675626542
starlark-rust,rust,0.0
strongswan,c++,0.0
sudoers,c,0.2
suricata,rust,0.3029572170436521
surrealdb,rust,0.036457659987071754
systemd,c++,0.048193548387096774
tarantool,c,0.0
tcmalloc,c++,0.030395417590539542
tdengine,c,0.0
tensorflow,c++,0.013311063872861626
tesseract-ocr,c++,0.0
tidy-html5,c++,0.012721608189303464
tinygltf,c++,0.0
tomcat,java,0.31843575418994413
toml_edit,rust,0.04035874439461883
tomlkit,python,0.2222222222222222
trafficserver,c++,0.0
trust-dns,rust,0.0
unicorn,c++,0.07142857142857142
unit,c,0.0
upx,c++,0.3333333333333333
usrsctp,c++,0.11969696969696969
util-linux,c,0.0
uwebsockets,c++,0.3727791878172589
valijson,c++,0.0
vlc,c,0.0
vulkan-loader,c,0.0
w3m,c,0.31666666666666665
wabt,c++,0.32793522267206476
wamr,c,0.047619047619047616
wasm3,c,0.0847457627118644
wasmer,rust,0.0
wasmtime,rust,0.2
